index,language,source,question,option_A,option_B,option_C,option_D,option_E,correct_option,question_EN,option_A_EN,option_B_EN,option_C_EN,option_D_EN,option_E_EN,,,,,,,,,,,,,,
77,FA-IR,national_official_exam_unofficial_source,آقای ۲۶ ساله با شکایت کمردرد و درد مفاصل محیطی و خشکی صبحگاهی ۴۵ دقیقه مراجعه کرده است. در معاینه ضایعات پوستی در کف دست و پا و شواهد کنژنکتیویت و اورتریت دارد. کدام بیماری جهت ایشان مطرح است؟,آرتریت پسوریازیس,اکتیو,آرتریت ری,آرتریت انتروپاتیک,None,2,"A 26-year-old man presented with back pain, peripheral joint pain, and morning stiffness lasting for 45 minutes. There are skin lesions on the palms and sole of the foot and the evidence of conjunctivitis and uretheritis. What is the diagnosis?",Psoriatic arthritis,Reactive arthritis,Enteropathic arthritis,Ankylosing spondylitis,None,,,,,,,,,,,,,,
78,FA-IR,national_official_exam_unofficial_source,کدامیک از موارد زیر در مورد درمان کپسولیت چسبنده صحیح نیست؟,ناپروکسن,گلوکوکورتیکوئید داخل مفصل,فیزیوتراپی,حرکت,None,4,Which one of the following treatments is NOT suggested about adhesive capsulitis?,Naproxen,Local glococorticoid injection,Physical therapy,Immobility,None,,,,,,,,,,,,,,
79,FA-IR,national_official_exam_unofficial_source,آقای ۶۰ ساله که با آرتریت مفصل زانوی راست مراجعه کرده است و در آسپیراسیون مایع مفصلی کریستال های رادیودنس در غضروف مفصل زانو مشاهده شد. احتمال کدامیک از بیماری های زیر مطرح است؟,بیماری نقرس,بیماری نقرس کاذب,بیماری رسوب کلسیم اپاتیت,بیماری رسوب کلسیم اگزالات,None,2,"A 60-year-old man presented with arthritis of the right knee joint. Rhomboid crystals were seen in the fluid aspiration. In the X-ray, radiodense deposits in the articular cartilage of the knee were observed. Which of the following is the most likely diagnosis?",Gout,Pseudogout,Calcium apatite deposition disease,Calcium oxalate deposition disease,None,,,,,,,,,,,,,,
80,FA-IR,national_official_exam_unofficial_source,عامل مهم مورتالیتی در بیماران مبتلا به لوپوس کدام است؟,اندوکاردیت دریچه,پنومونی لوپوس,پریکاردیت ریسکترکتیو,نفریت لوپوس,None,4,What is the most important cause of mortality in patients with lupus?,Valvular endocarditis,Lupus pneumonia,Restrictive pericarditis,Lupus nephritis,None,,,,,,,,,,,,,,
81,HE-IS,national_official_exam_official_source,בת 46 פונה למיון בשל תחושת דופק מהיר. בבדיקתה: סינוס טכיקרדיה 130 לדקה ורעד עדין בידיים. במעבדה: ערכי TSH מתחת לסף הגילוי וfT4- פי 4 מהנורמה. במיפוי בלוטת התריס קליטה דיפוזית. איזה מבין המצבים הבאים עשוי להסביר את הקליניקה והממצאים בסבירות גבוהה?,המטופלת עברה צנתור כלילי לפני 3 חודשים,"המטופלת מדווחת על כאבי גרון, רגישות וחום סיסטמי ויש לה שקיעת דם של 100 מ""מ לשעה",המטופלת סובלת מהפרעת אכילה ומסתבר שנטלה אלטרוקסין של אחותה לצורך ירידה במשקל,למטופלת יש איחור במחזור ולאחרונה עברה בירור גניקולוגי והועלה חשד ל trophoblastic disease,None,4,A 46-year-old woman goes to the emergency room due to the feeling of a fast pulse. On her examination: sinus tachycardia 130 per minute and mild tremors in the hands. In the laboratory: TSH values ​​below the detection threshold and fT4 - 4 times the norm. Diffuse uptake in thyroid mapping. Which of the following conditions is most likely to explain the clinic and findings?,The patient underwent coronary catheterization 3 months ago,"The patient reports a sore throat, tenderness and systemic fever and has a blood sedimentation rate of 100 mm per hour",The patient suffers from an eating disorder and it turns out that she took her sister's altroxin for weight loss,The patient has a late period and recently underwent a gynecological examination and trophoblastic disease was suspected,None,,,,,,,,,,,,,,
82,HE-IS,national_official_exam_official_source,בן 78 מאושפז בשל זיהום בדרכי השתן (UTI) וסובל מדליריום. מה ההשלכות של הדליריום?,לדליריום אין השלכות קצרות או ארוכות טווח,אחוז התמותה מדליריום באשפוז דומה לאחוז התמותה מספסיס,דליריום משפיע על התמותה בטווח הארוך אך לא בטווח הקצר,טיפול פרמקולוגי בדליריום מהווה גורם סיכון להתפתחות דמנציה,None,2,A 78-year-old is hospitalized for a urinary tract infection (UTI) and suffers from delirium. What are the consequences of delirium?,Delirium has no short or long term consequences,The mortality rate from delirium in hospitalization is similar to the mortality rate from sepsis,Delirium affects mortality in the long term but not in the short term,Pharmacological treatment of delirium is a risk factor for the development of dementia,None,,,,,,,,,,,,,,
83,HE-IS,national_official_exam_official_source,"בת 40, בשנה האחרונה סובלת מתופעת ריינו, ארתרלגיה ועיבוי עור דיפוזי. בבירור נמצא: ANA חיובי בכייל 1:160 ו- III Polymerase RNA Anti חיובי. פונה למלר""ד בשל כאב ראש פרונטלי חדש בעוצמה 8/10. בבדיקה: ל""ד 155/100. במעבדה: המוגלובין g/dl 10 (בסיס11.5) נורמוציטי, טסיות ,100,000/µl במשטח דם שברי
תאים 4-6 בשדה. קריאטינין mg/dl 1.2 (בסיס 0.6) INR – תקין. בסטיק שתן -
המטוריה מיקרוסרופית. בירור בשאלת TTP שלילי. כיצד יש לטפל בחולה?
",captopril בשילוב עם Pulse IV methylprednisolone,captopril במינון עולה עד לאיזון לחץ הדם,captopril בשילוב עם Plasmapheresis,נוזלים לווריד עד נרמול הקריאטינין ואז captopril,None,2,"40 years old, has been suffering from Raynaud's phenomenon, arthralgia and diffuse skin thickening for the past year. Clearly found: ANA positive calibrated 1:160 and III Polymerase RNA Anti positive. Referred to the MD because of a new frontal headache with an intensity of 8/10. On examination: BP 155/100. In the laboratory: hemoglobin 10 g/dl (base 11.5) normocytic, platelets 100,000/µl, in blood surface fractioned cells 4-6 in the field. Creatinine mg/dl 1.2 (base 0.6) INR – normal. urine stick -
The hematuria is microscopic. TTP diagnosis negative. How should the patient be treated?
",captopril combined with Pulse IV methylprednisolone,captopril in an increasing dose until blood pressure is balanced,captopril in combination with plasmapheresis,"IV fluids until the creatinine normalizes, then captopril",None,,,,,,,,,,,,,,
84,HE-IS,national_official_exam_official_source,"בת 53, ללא מחלות רקע. מזה כשנה וחצי מתלוננת על דיספגיה למוצקים ולנוזלים וירידה במשקל של כ5- ק""ג. בגסטרוסקופיה נמצא ושט מורחב, ללא היצרות או חסימה. במנומטריה נמצאה ירידה ברלקסציה של ה- sphincter esophageal lower (LES) ובפריסטלטיקה של הושט. מה נכון לגבי אפשרויות הטיפול?",הזרקת טוקסין בוטולניום לLES- יעילה רק בשליש מהמקרים,להרחבה פנאומטית אנדוסקופית שיעור פרפורציות גבוה מ- 15%,ל- myotomy esophageal peroral שכיחות נמוכה של רפלוקס לאחר הפעולה,"לניתוח ע""ש Heller יעילות גבוהה מ- 80% בהקלת התסמינים",None,4,"53 years old, no underlying diseases. For about a year and a half, she has been complaining of dysphagia for solids and liquids and a weight loss of about 5 kg. In gastroscopy, an enlarged esophagus was found, without stenosis or obstruction. In manometry, a decrease in the relaxation of the lower esophageal sphincter (LES) and a decrease peristalsis of the esophagus was found. What is true about the treatment options?",Botulinum toxin injection into the LES is only effective in a third of cases,"For endoscopic pneumatic expansion, a perforation rate higher than 15%",Peroral esophageal myotomy has a low incidence of reflux after the operation,The Heller surgery has a higher than 80% efficiency in relieving symptoms,None,,,,,,,,,,,,,,
85,HE-IS,national_official_exam_official_source,איזה מבין המשפטים הבאים נכון לגבי סטטינים וDILI- drug induced liver injury,כ10%- מהחולים המטופלים בסטטינים יפתחו הפרעה משמעותית באנזימי כבד,Chronic hepatitis C לא מהווה גורם סיכון לפתח DILI כתוצאה מטיפול בסטטיסים,התחלת טיפול בסטטינים מחייבת מעקב אחר תפקודי כבד ב6- חודשים ראשונים לטיפול,rosuvastatin גורם לעליה באנזימי כבד בשכיחות גבוהה יותר מאשר simvastatin,None,2,Which of the following sentences is true regarding statins and DILI - drug induced liver injury,About 10% of patients treated with statins will develop a significant disturbance in liver enzymes,Chronic hepatitis C is not a risk factor for developing DILI as a result of statis treatment,Starting treatment with statins requires monitoring of liver functions in the first 6 months of treatment,rosuvastatin causes elevation of liver enzymes more frequently than simvastatin,None,,,,,,,,,,,,,,
86,HE-IS,national_official_exam_official_source,איזה מבין הפתוגנים הבאים קשור בשכיחות גבוהה יותר להתפתחות זיהומים אנדווסקולרים?,Salmonella typhi,Nontyphoidal Salmonella,Salmonella paratyphi,Shigella dysenteriae,None,2,Which of the following pathogens is more commonly associated with the development of endovascular infections?,Salmonella typhi,Nontyphoidal Salmonella,Salmonella paratyphi,Shigella dysenteriae,None,,,,,,,,,,,,,,
87,HE-IS,national_official_exam_official_source,"בן 32, גולש גלים, מובא לחדר המיון במצב ישנוני לאחר שחזר מהרפובליקה הדומיניקנית. בבדיקתו, ישנוני - סטופורוטי, לחץ דם 100/60 ממ״כ, דופק 125 סדיר, חום 39.8C, נשימות שטחיות 26 בדקה, סימני דמם בריריות הפה. כבד וטחול נימושים בקצותיהם. במעבדה - המוגלובין 10.4 גר׳/ד״ל, לויקוציטים 14,000 בממ״ק, טסיות 35,000 בממ״ק, קריאטינין 3.4 מ״ג/ד״ל, בילירובין 4.5 מ״ג/ד״ל. מה יכלול טיפול הבחירה?",High dose corticosteroids,Caplacizumab,Artesunate,Infliximab,None,3,"A 32-year-old surfer is brought to the emergency room in a sleepy state after returning from the Dominican Republic. On examination, he is sleepy - stopporous, blood pressure 100/60 mmHg, pulse 125 regular, temperature 39.8C, shallow breaths 26 per minute, signs of blood in the oral mucosa. Liver and spleen scaly at their ends. In the laboratory - hemoglobin 10.4 g/dL, leukocytes 14,000 in cubic meters, platelets 35,000 in cubic meters, creatinine 3.4 mg/dL, bilirubin 4.5 mg/dL. What will the treatment of choice include?",High dose corticosteroids,Caplacizumab,Artesunate,Infliximab,None,,,,,,,,,,,,,,
88,HE-IS,national_official_exam_official_source,"בת 80, מופנית לאשפוז בעקבות בדיקות דם בקהילה שהדגימו אי ספיקת כליות חדה (AKI) עם עליית קריאטינין לערך של 2 מ""ג/ד""ל (מבסיס 0.8 מ""ג/ד""ל). ה- AKI התפתח כשבוע לאחר שהייתה מאושפזת עקב זיהום בדרכי השתן וטופלה ב- gentamicin למשך 7 ימים. איזה מבין הבאים נכון לגבי פגיעה כלייתית מאמינוגליקוזידים?",לרוב הפגיעה מלווה בהיפרמגנזמיה,שמירה על רמות תרופה תקינות לא מונעת התפתחות AKI,"ברוב המקרים, ATN משני לאמינוגליקוזידים מופיע ב- 72 השעות הראשונות",לרוב מתאפיינת באוליגוריה,None,2,"80 years old, referred to hospital following blood tests in the community that demonstrated acute kidney failure (AKI) with an increase in creatinine to about 2 mg/dL (from a baseline of 0.8 mg/dL). The AKI developed about a week after she was hospitalized for a urinary tract infection and treated with gentamicin for 7 days. Which of the following is true regarding renal injury from aminoglycosides?",The injury is often accompanied by hypermagnesemia,Maintaining normal drug levels does not prevent the development of AKI,"In most cases, ATN secondary to aminoglycosides appears in the first 72 hours",Often characterized by oliguria,None,,,,,,,,,,,,,,
